title,company,location,link
Hedge fund IT,Optimas Capital,Temporarily Remote in Hong Kong,https://hk.indeed.com/viewjob?jk=66a19e72e8822d62&q=python&l=Hong+Kong
Software Engineer - C# / .NET,Eclipse Trading,Temporarily Remote in Hong Kong,https://hk.indeed.com/viewjob?jk=2c44688cda2fb2fb&q=python&l=Hong+Kong
Quant Trader,Babel Capital Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=6c45cbffd9c532f4&q=python&l=Hong+Kong
(Junior) Quant Developer - Hedge Fund,Links International,Hong Kong,https://hk.indeed.com/viewjob?jk=9f5d5971da93d027&q=python&l=Hong+Kong
Junior Equity Derivatives Trader,Guotai Junan International Holdings Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=30f0b4fa3973a8cd&q=python&l=Hong+Kong
Quants researcher,Bank of China (Hong Kong) Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=8e211e790ba07a68&q=python&l=Hong+Kong
2023 Global Trading Solutions Analyst Summer Internship Prog...,Credit Suisse,Hong Kong,https://hk.indeed.com/viewjob?jk=3869b1147c2a06d7&q=python&l=Hong+Kong
Quant Researcher - Summer Intern - June Intake,Coffee Cloud Company Limited,"Tsuen Wan, New Territories",https://hk.indeed.com/viewjob?jk=f34123f3265f692a&q=python&l=Hong+Kong
"Director, Desk Quant",Standard Chartered Bank,Hong Kong,https://hk.indeed.com/viewjob?jk=2635b0c257a53b51&q=python&l=Hong+Kong
"Fixed Income Data Analyst/Quant, Global Markets Department",Industrial and Commercial Bank of China (Asia) Ltd,Hong Kong,https://hk.indeed.com/viewjob?jk=e8fa43ab8bb734ae&q=python&l=Hong+Kong
Quantitative Researcher Intern - Summer,Y-Intercept (Hong Kong) Limited,"Remote in Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=245eba50d54b7745&q=python&l=Hong+Kong
Business Development Executive,Informa Intelligence,Hong Kong,https://hk.indeed.com/viewjob?jk=5b5dd7985b07f582&q=python&l=Hong+Kong
Front Office Engineer,UBS,Hong Kong,https://hk.indeed.com/viewjob?jk=0f7d1a6bc39de8bc&q=python&l=Hong+Kong
Quant Developer - Summer Intern - June intakes,Coffee Cloud Company Limited,"Tsuen Wan, New Territories",https://hk.indeed.com/viewjob?jk=055ce46d44134349&q=python&l=Hong+Kong
Quant Researcher,Millennium Management LLC,Hong Kong,https://hk.indeed.com/viewjob?jk=5a181ebd1f990b56&q=python&l=Hong+Kong
Quantitative Analyst,Conning & Company,Remote in Hong Kong,https://hk.indeed.com/viewjob?jk=e40de4b18ce4a403&q=python&l=Hong+Kong
Assistant Portfolio Manager - High Frequency Trading (HFT),Alpha Quant Fin-Tech Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=3d70392822947f38&q=python&l=Hong+Kong
Equity Research Assistant,China Merchants Securities 招商證券,Hong Kong,https://hk.indeed.com/viewjob?jk=487fc75f8acb8409&q=python&l=Hong+Kong
"Crypto Research Analyst, Quant Trading Team - Global Fintech...",Crypto.com,Hong Kong,https://hk.indeed.com/viewjob?jk=7c22c3fd86cc24df&q=python&l=Hong+Kong
Risk Manager - Quant / Cryptocurrency / Fintech,Williamselect,Hong Kong,https://hk.indeed.com/viewjob?jk=d645a4af1ec8a20e&q=python&l=Hong+Kong
Senior Java Engineer,Eclipse Options (HK) Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=9a6b8dfe3ddeae58&q=python&l=Hong+Kong
Structurer,BNP Paribas,Hong Kong,https://hk.indeed.com/viewjob?jk=8779c2f27fe234d0&q=python&l=Hong+Kong
Fixed Income Intern - Quant/Trading,Millennium Management LLC,Hong Kong,https://hk.indeed.com/viewjob?jk=d4d6aa9164b02476&q=python&l=Hong+Kong
QA equities Quant,Barclays,"Central and Western District, Hong Kong Island",https://hk.indeed.com/viewjob?jk=8a8745c8529ec6d2&q=python&l=Hong+Kong
Asian Market Quant Developer - Global Banking & Markets,HSBC,"Central, Hong Kong Island",https://hk.indeed.com/viewjob?jk=7b8962598e8a98a4&q=python&l=Hong+Kong
NEW Quant Researcher opportunity,BAH Partners,Hong Kong,https://hk.indeed.com/viewjob?jk=659bfc3446e2a8cc&q=python&l=Hong+Kong
Quant Trader,HashKey Digital Asset Group Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=23b0e891f6dd9cd4&q=python&l=Hong+Kong
Trading Technology Software Engineer,"JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=6ad54823f1bae0a3&q=python&l=Hong+Kong
Quantitative Analyst,UBS,Hong Kong,https://hk.indeed.com/viewjob?jk=abe4d028d04495a1&q=python&l=Hong+Kong
Head of Electronic Equities Analytics,BNP Paribas,Hong Kong,https://hk.indeed.com/viewjob?jk=8c379d09c8a68c75&q=python&l=Hong+Kong
CIB - Equity - APAC Warrant Trading - Associate,"JPMorgan Chase Bank, N.A.",Hong Kong,https://hk.indeed.com/viewjob?jk=9ec4f9a8633d4622&q=python&l=Hong+Kong
Senior/Research Manager (Online Community),IPSOS Asia Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=8b8fadf84eefa1fd&q=python&l=Hong+Kong
Associate Professor / Assistant Professor,The Chinese University of Hong Kong 香港中文大學,Hong Kong,https://hk.indeed.com/viewjob?jk=d92ab3d63516ce93&q=python&l=Hong+Kong
Python Developer - Proprietary Trading,Maven,Hong Kong,https://hk.indeed.com/viewjob?jk=fe0c6bc6ce8e8b08&q=python&l=Hong+Kong
Software Engineer - Equities Derivatives Sales & Trading Tec...,Goldman Sachs,Hong Kong,https://hk.indeed.com/viewjob?jk=ff58a981cc91f6ad&q=python&l=Hong+Kong
FPGA Engineer,Alpha Quant Fin-Tech Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=b0d615300f6c014e&q=python&l=Hong+Kong
C# Developer,Alpha Quant Fin-Tech Limited,Hong Kong,https://hk.indeed.com/viewjob?jk=1fae1a11c472a745&q=python&l=Hong+Kong
Quantitative Researcher/Analyst,Saccade Capital,Hong Kong,https://hk.indeed.com/viewjob?jk=cd2fa0010b6143bc&q=python&l=Hong+Kong
Equity Vanilla Trade Support Associate,Société Générale,Hong Kong,https://hk.indeed.com/viewjob?jk=05e723ed23b4f5ca&q=python&l=Hong+Kong
"Financial Markets Infrastructure Services, Technical Analyst",Standard Chartered,Hong Kong,https://hk.indeed.com/viewjob?jk=89b16f0121eb80f9&q=python&l=Hong+Kong
